[20-Feb-2024 18:17:46 UTC] PHP Parse error:  syntax error, unexpected '}' in /Applications/MAMP/htdocs/planty1/wp-content/themes/oceanwp-child-theme-master/functions.php on line 36
[20-Feb-2024 18:17:46 UTC] PHP Fatal error:  Exception thrown without a stack frame in Unknown on line 0
[20-Feb-2024 18:19:46 UTC] PHP Parse error:  syntax error, unexpected '}' in /Applications/MAMP/htdocs/planty1/wp-content/themes/oceanwp-child-theme-master/functions.php on line 36
[20-Feb-2024 18:19:46 UTC] PHP Fatal error:  Exception thrown without a stack frame in Unknown on line 0
[20-Feb-2024 18:21:47 UTC] PHP Parse error:  syntax error, unexpected '}' in /Applications/MAMP/htdocs/planty1/wp-content/themes/oceanwp-child-theme-master/functions.php on line 36
[20-Feb-2024 18:21:47 UTC] PHP Fatal error:  Exception thrown without a stack frame in Unknown on line 0
[22-Feb-2024 09:09:39 UTC] PHP Parse error:  syntax error, unexpected '}' in /Applications/MAMP/htdocs/planty1/wp-content/themes/oceanwp-child-theme-master/functions.php on line 36
[22-Feb-2024 09:09:39 UTC] PHP Fatal error:  Exception thrown without a stack frame in Unknown on line 0
[22-Feb-2024 09:09:43 UTC] PHP Parse error:  syntax error, unexpected '}' in /Applications/MAMP/htdocs/planty1/wp-content/themes/oceanwp-child-theme-master/functions.php on line 36
[22-Feb-2024 09:09:43 UTC] PHP Fatal error:  Exception thrown without a stack frame in Unknown on line 0
[22-Feb-2024 09:09:45 UTC] PHP Parse error:  syntax error, unexpected '}' in /Applications/MAMP/htdocs/planty1/wp-content/themes/oceanwp-child-theme-master/functions.php on line 36
[22-Feb-2024 09:09:45 UTC] PHP Fatal error:  Exception thrown without a stack frame in Unknown on line 0
[22-Feb-2024 09:09:57 UTC] PHP Parse error:  syntax error, unexpected '}' in /Applications/MAMP/htdocs/planty1/wp-content/themes/oceanwp-child-theme-master/functions.php on line 36
[22-Feb-2024 09:09:57 UTC] PHP Fatal error:  Exception thrown without a stack frame in Unknown on line 0
[22-Feb-2024 09:10:10 UTC] PHP Parse error:  syntax error, unexpected '}' in /Applications/MAMP/htdocs/planty1/wp-content/themes/oceanwp-child-theme-master/functions.php on line 36
[22-Feb-2024 09:10:10 UTC] PHP Fatal error:  Exception thrown without a stack frame in Unknown on line 0
[22-Feb-2024 09:10:52 UTC] PHP Parse error:  syntax error, unexpected ')' in /Applications/MAMP/htdocs/planty1/wp-content/themes/oceanwp-child-theme-master/functions.php on line 35
[22-Feb-2024 09:10:52 UTC] PHP Fatal error:  Exception thrown without a stack frame in Unknown on line 0
[22-Feb-2024 09:11:30 UTC] PHP Deprecated:  La fonction the_block_template_skip_link est obsolète depuis la version 6.4.0 ! Utilisez wp_enqueue_block_template_skip_link() à la place. in /Applications/MAMP/htdocs/planty1/wp-includes/functions.php on line 6031
[22-Feb-2024 09:11:31 UTC] PHP Deprecated:  La fonction the_block_template_skip_link est obsolète depuis la version 6.4.0 ! Utilisez wp_enqueue_block_template_skip_link() à la place. in /Applications/MAMP/htdocs/planty1/wp-includes/functions.php on line 6031
[22-Feb-2024 09:11:31 UTC] PHP Deprecated:  La fonction the_block_template_skip_link est obsolète depuis la version 6.4.0 ! Utilisez wp_enqueue_block_template_skip_link() à la place. in /Applications/MAMP/htdocs/planty1/wp-includes/functions.php on line 6031
